household_weight,people_in_household,adults_in_household,children_in_household,baseline_household_net_income_bhc,baseline_equiv_household_net_income_bhc,baseline_household_net_income_ahc,baseline_equiv_household_net_income_ahc,baseline_in_poverty_bhc,baseline_in_poverty_ahc,reform_1_household_net_income_bhc,reform_1_equiv_household_net_income_bhc,reform_1_household_net_income_ahc,reform_1_equiv_household_net_income_ahc,reform_1_in_poverty_bhc,reform_1_in_poverty_ahc,reform_2_household_net_income_bhc,reform_2_equiv_household_net_income_bhc,reform_2_household_net_income_ahc,reform_2_equiv_household_net_income_ahc,reform_2_in_poverty_bhc,reform_2_in_poverty_ahc,reform_3_household_net_income_bhc,reform_3_equiv_household_net_income_bhc,reform_3_household_net_income_ahc,reform_3_equiv_household_net_income_ahc,reform_3_in_poverty_bhc,reform_3_in_poverty_ahc,reform_4_household_net_income_bhc,reform_4_equiv_household_net_income_bhc,reform_4_household_net_income_ahc,reform_4_equiv_household_net_income_ahc,reform_4_in_poverty_bhc,reform_4_in_poverty_ahc
2125.0,2,2,0,462.0,462.0,375.0,375.0,0,0,592.0,592.0,505.0,505.0,0,0,792.0,792.0,705.0,705.0,0,0,758.0,758.0,671.0,671.0,0,0,842.0,842.0,755.0,755.0,0,0
1932.0,4,2,2,784.3769,512.6647,743.3769,485.86725,0,0,873.3031,570.7864,832.3031,543.98895,0,0,860.5531,562.453,819.5531,535.65564,0,0,962.5531,629.1197,921.5531,602.3223,0,0,785.5531,513.4334,744.5531,486.63602,0,0
1224.0,2,2,0,484.8569,484.8569,475.8569,475.8569,0,0,491.66,491.66,482.66,482.66,0,0,573.455,573.455,564.455,564.455,0,0,474.45502,474.45502,465.45502,465.45502,0,0,444.5975,444.5975,435.5975,435.5975,0,0
1913.0,2,2,0,1054.5354,1054.5354,990.5354,990.5354,0,0,1044.4615,1044.4615,980.46155,980.46155,0,0,780.71155,780.71155,716.71155,716.71155,0,0,866.71155,866.71155,802.71155,802.71155,0,0,950.71155,950.71155,886.71155,886.71155,0,0
2590.0,2,2,0,375.3769,375.3769,367.3769,367.3769,0,0,407.37997,407.37997,399.37997,399.37997,0,0,519.91,519.91,511.90997,511.90997,0,0,420.90997,420.90997,412.90997,412.90997,0,0,413.38,413.38,405.38,405.38,0,0
1117.0,2,2,0,616.7931,616.7931,588.7931,588.7931,0,0,616.7561,616.7561,588.7561,588.7561,0,0,648.10114,648.10114,620.10114,620.10114,0,0,549.10114,549.10114,521.10114,521.10114,0,0,545.00616,545.00616,517.00616,517.00616,0,0
1708.0,1,1,0,275.0,410.44775,269.0,401.49252,0,0,284.68,424.8955,278.68,415.94028,0,0,397.0,592.5373,391.0,583.5821,0,0,255.0,380.59702,249.0,371.64178,0,0,203.18001,303.25372,197.18001,294.29852,0,0
660.0,5,2,3,538.81,336.75626,488.81,305.50626,0,0,573.7331,358.5832,523.7331,327.3332,0,0,621.84,388.65002,571.84,357.40002,0,0,836.84,523.025,786.84,491.77502,0,0,525.79004,328.61877,475.79004,297.36877,0,0
1631.0,2,2,0,500.0,500.0,287.0,287.0,0,0,535.92,535.92,322.91998,322.91998,0,0,813.0,813.0,600.0,600.0,0,0,529.0,529.0,316.0,316.0,0,0,385.8575,385.8575,172.8575,172.8575,0,1
1224.0,1,1,0,208.0,310.44775,110.0,164.17911,0,1,273.0,407.46268,175.0,261.19403,0,0,373.0,556.71643,275.0,410.44775,0,0,356.0,531.34326,258.0,385.07462,0,0,398.0,594.02985,300.0,447.76117,0,0
